id,block,trialno_full,trialno_block,stim,choice,correct,response_time,feedback,money,run
subj_1,5,30,30,3,2,0,1164,11,80,2
subj_1,5,31,31,4,1,0,1535.89999999999,-11,60,2
subj_1,5,32,32,6,2,1,2339.19999999998,1,60,2
subj_1,5,33,33,1,2,1,1148.5,11,80,2
subj_1,5,34,34,3,2,0,911.099999999977,-1,80,2
subj_1,5,35,35,4,1,0,1499,1,80,2
subj_1,5,36,36,6,2,1,941.700000000012,1,80,2
subj_1,5,37,37,4,2,1,1342.89999999997,1,80,2
subj_1,5,38,38,4,1,0,2161.59999999998,-11,60,2
subj_1,5,39,39,2,2,0,1365.5,-11,40,2
subj_1,5,40,40,4,1,0,1049.5,1,40,2
subj_1,5,41,41,1,2,1,1090.09999999998,11,60,2
subj_1,5,42,42,6,1,0,1113.39999999997,1,60,2
subj_1,5,43,43,4,2,1,1083.29999999999,1,60,2
subj_1,5,44,44,2,1,1,1322.59999999998,1,60,2
subj_1,5,45,45,6,2,1,1568.59999999998,-11,40,2
subj_1,5,46,46,6,1,0,1268.5,1,40,2
subj_1,5,47,47,3,2,0,1186.5,11,60,2
subj_1,5,48,48,2,2,0,1809.79999999999,-11,40,2
subj_1,5,49,49,1,1,0,1857.70000000001,-1,40,2
subj_1,5,50,50,5,2,0,894.299999999988,-1,40,2
subj_1,5,51,51,5,2,0,748.899999999965,-1,40,2
subj_1,5,52,52,5,1,1,685.5,-1,40,2
subj_1,5,53,53,4,1,0,1220.79999999999,-11,20,2
subj_1,5,54,54,1,2,1,860.799999999988,11,40,2
subj_1,5,55,55,3,2,0,890.700000000012,-1,40,2
subj_1,5,56,56,1,2,1,870,-1,40,2
subj_1,5,57,57,2,1,1,1518,1,40,2
subj_1,5,58,58,2,1,1,1121.89999999997,1,40,2
subj_1,5,59,59,6,2,1,1483.89999999997,-11,20,2
subj_1,5,60,60,6,1,0,1233.20000000001,-11,0,2
subj_1,6,61,1,1,2,1,1352.29999999999,11,20,2
subj_1,6,62,2,3,1,1,996.899999999965,11,40,2
subj_1,6,63,3,6,1,0,1077.59999999998,-11,20,2
subj_1,6,64,4,6,2,1,690.899999999965,1,20,2
subj_1,6,65,5,1,2,1,1192.09999999998,11,40,2
